City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Sioux Lookout,CA,50.1001,-91.917,69.87,64,40,6.91,scattered clouds
251,Wittenberge,DE,53.0,11.75,55.04,77,48,5.5,scattered clouds
252,Laguna,US,38.421,-121.4238,101.32,29,0,12.66,clear sky
253,Leh,IN,34.1667,77.5833,58.33,73,100,2.89,overcast clouds
254,Hobyo,SO,5.3505,48.5268,75.65,82,27,20.65,scattered clouds
255,Sertania,BR,-8.0736,-37.2644,66.13,94,100,7.14,overcast clouds
256,Butaritari,KI,3.0707,172.7902,81.9,76,6,19.69,clear sky
257,Paka,MY,4.6374,103.4368,78.73,94,40,0.0,scattered clouds
258,Ancud,CL,-41.8697,-73.8203,49.23,94,98,8.46,overcast clouds
259,Santa Ines,BR,-3.6667,-45.38,75.22,64,21,3.47,few clouds
260,Varhaug,NO,58.6147,5.6457,51.89,78,100,26.26,overcast clouds
261,Wau,SS,7.7029,27.9953,69.67,97,100,4.7,overcast clouds
262,Geraldton,AU,-28.7667,114.6,48.61,81,0,11.5,clear sky
263,Gat,IL,31.61,34.7642,77.4,62,0,3.06,clear sky
264,Semey,KZ,50.4111,80.2275,66.42,52,0,4.47,clear sky
265,La Asuncion,VE,11.0333,-63.8628,69.53,100,53,13.8,broken clouds
266,Lazaro Cardenas,MX,17.9583,-102.2,82.27,71,66,4.14,broken clouds
267,Omboue,GA,-1.5746,9.2618,70.88,89,99,5.01,overcast clouds
268,Carutapera,BR,-1.195,-46.02,76.77,86,95,6.76,overcast clouds
269,Mengcheng,CN,33.2579,116.5655,83.46,69,4,3.69,clear sky
270,Bela,IN,25.9333,81.9833,85.48,73,95,4.65,overcast clouds
271,Tanggu,CN,39.0211,117.6469,80.56,79,19,8.32,few clouds
272,Ribeira Grande,PT,38.5167,-28.7,74.1,86,14,7.94,few clouds
273,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.98,38,100,2.19,overcast clouds
274,Robertsport,LR,6.7533,-11.3686,76.66,79,100,6.26,overcast clouds
275,San Luis,AR,-33.295,-66.3356,54.12,94,100,8.7,overcast clouds
276,Barstow,US,34.8986,-117.0228,101.39,15,65,4.83,broken clouds
277,Hami,CN,42.8,93.45,84.6,12,0,9.06,clear sky
278,Saldanha,ZA,-33.0117,17.9442,53.65,90,1,6.35,clear sky
279,Kodiak,US,57.79,-152.4072,53.11,71,0,8.05,clear sky
280,Aksarka,RU,66.5606,67.7975,51.26,84,83,11.59,broken clouds
281,Chara,RU,56.9064,118.2631,75.52,55,78,1.7,broken clouds
282,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,95,25,4.38,scattered clouds
283,Maceio,BR,-9.6658,-35.7353,74.64,88,75,9.22,broken clouds
284,Vestmannaeyjar,IS,63.4427,-20.2734,53.47,99,100,14.05,overcast clouds
285,Nemuro,JP,43.3236,145.575,66.25,95,100,6.02,overcast clouds
286,Anori,BR,-3.7728,-61.6442,81.41,57,97,2.86,overcast clouds
287,Saint-Augustin,CA,51.226,-58.6502,60.93,76,2,17.11,clear sky
288,Thayetmyo,MM,19.3167,95.1833,82.74,74,84,2.37,broken clouds
289,Kedrovyy,RU,56.1667,91.8167,54.01,93,100,4.23,overcast clouds
290,Devils Lake,US,48.1128,-98.8651,71.94,60,20,11.5,few clouds
291,Qostanay,KZ,53.1667,63.5833,66.49,77,0,11.18,clear sky
292,Bethune,FR,50.5333,2.6333,61.05,81,93,5.75,overcast clouds
293,Ciudad Bolivar,VE,8.1222,-63.5497,80.94,66,50,5.68,scattered clouds
294,Port Lincoln,AU,-34.7333,135.8667,57.49,67,100,16.62,overcast clouds
295,Rudbar,AF,30.15,62.6,85.57,62,5,7.7,clear sky
296,Dikson,RU,73.5069,80.5464,43.52,97,100,22.48,moderate rain
297,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,71.28,39,0,4.07,clear sky
298,Concordia,AR,-31.393,-58.0209,70.79,89,5,4.0,clear sky
299,Registro,BR,-24.4875,-47.8436,59.97,99,28,0.92,scattered clouds
300,Fairview,US,40.8126,-73.999,79.83,50,0,6.91,clear sky
301,Asheboro,US,35.7079,-79.8136,76.62,96,0,0.0,clear sky
302,Alofi,NU,-19.0595,-169.9187,78.69,100,40,14.97,scattered clouds
303,Muyezerskiy,RU,63.9333,31.65,60.94,84,100,9.4,light rain
304,Murgab,TM,37.4966,61.9714,78.67,50,0,9.22,clear sky
305,Kaitangata,NZ,-46.2817,169.8464,45.79,97,100,10.09,overcast clouds
306,Kununurra,AU,-15.7667,128.7333,76.98,27,3,10.36,clear sky
307,Katherine,AU,-14.4667,132.2667,73.72,31,4,12.66,clear sky
